tender_id,supplier_name,fetched_at,financial_offer,technical_result,is_awarded,award_value
1089692,مؤسسة سهم الثانوي للمقاولات العامة,2026-08-15T22:41:13.529938+00:00,28980.0,مطابق,0,
1089735,شركة الوفاء الدولية,2026-08-15T21:35:24.159865+00:00,32821.0,مطابق,0,
1089735,شركة مدي الارتقاء التجارية,2026-08-15T21:35:24.159865+00:00,24265.0,مطابق,1,24265.0
1089735,مؤسسة ناديه حامد علي القحطاني التجارية,2026-08-15T21:35:24.159865+00:00,42889.25,مطابق,0,
1089904,شركة دعم و سند للتجارة,2026-08-15T22:07:23.534226+00:00,39905.0,مطابق,0,
1089904,شركة كواش العربية السعودية للخدمات المحدودة,2026-08-15T22:07:23.534226+00:00,21965.0,مطابق,1,21965.0
1089904,مؤسسة هوازن نجد للتجارة,2026-08-15T22:07:23.534226+00:00,27646.0,مطابق,0,
1089909,شركة الانامل الشاميه للصيانة,2026-08-15T22:20:30.715678+00:00,63618.0,مطابق,1,63618.0
1089952,شركة قروأب المحدودة,2026-08-15T22:20:38.130628+00:00,65297.0,مطابق,1,65297.0
1089952,شركة مجد الاوائل,2026-08-15T22:20:38.130628+00:00,58075.0,غير مطابق,0,
1089957,شركة الوجهة الذكية المحدودة,2026-08-15T20:30:01.470380+00:00,12282.0,مطابق,1,12282.0
1089986,شركة العوامة المميزة التجارية,2026-08-15T22:20:45.112402+00:00,8912.5,غير مطابق,0,
1089986,مؤسسة خبراء العالم للطاقة المتجددة,2026-08-15T22:20:45.112402+00:00,7820.0,مطابق,1,7820.0
1089996,شركة نسيم النجاح للمقاولات,2026-08-15T22:30:48.270642+00:00,82851.75,مطابق,1,82851.75
1090013,شركة روزنباور العربية السعودية المحدودة,2026-08-15T21:04:26.045007+00:00,77442.15,مطابق,1,77442.15
1090016,شركة أمان السريع المحدودة,2026-08-15T21:50:17.610611+00:00,1242.0,مطابق,1,1242.0
1090016,مؤسسة عراقة العاصمة للتجارة,2026-08-15T21:50:17.610611+00:00,3358.0,مطابق,0,
1090026,شركة أمان السريع المحدودة,2026-08-15T21:50:41.124600+00:00,2875.0,مطابق,0,
1090026,مؤسسة عراقة العاصمة للتجارة,2026-08-15T21:50:41.124600+00:00,2530.0,مطابق,1,2530.0
1090240,مؤسسة الحجر التجارية,2026-08-15T22:21:07.530779+00:00,13489.85,مطابق,1,13489.85
1090241,الشركة الوطنية لأعمال المياة,2026-08-15T22:21:13.368050+00:00,33350.0,مطابق,0,
1090241,شركة سوليد تشاين,2026-08-15T22:21:13.368050+00:00,29990.0,مطابق,0,
1090241,مؤسسة فهد زيد العبودي للمقاولات,2026-08-15T22:21:13.368050+00:00,57500.0,مطابق,0,
1090241,مؤسسة منارة الفنار للتجارة,2026-08-15T22:21:13.368050+00:00,25300.0,مطابق,1,25300.0
1090312,مؤسسة حلول المتكامل للتجارة,2026-08-15T20:11:53.484286+00:00,7935.0,مطابق,1,7935.0
1090321,شركة اتجاهات الريادة للتجارة,2026-08-15T20:30:23.226913+00:00,54740.0,مطابق,0,
1090321,مؤسسة حلول المتكامل للتجارة,2026-08-15T20:30:23.226913+00:00,29900.0,مطابق,1,29900.0
1090393,شركة بركات المستقبل الحديثه,2026-08-15T21:26:31.845826+00:00,54193.75,مطابق,0,
1090393,شركة سعه الإنشائية,2026-08-15T21:26:31.845826+00:00,74883.4,مطابق,0,
1090393,شركة مهد الأمم,2026-08-15T21:26:31.845826+00:00,45425.0,مطابق,0,
1090393,مؤسسة إنشاء الجنوب التجارية,2026-08-15T21:26:31.845826+00:00,44899.45,مطابق,1,44899.45
1090393,مؤسسة البروج البيضاء,2026-08-15T21:26:31.845826+00:00,54993.0,مطابق,0,
1090398,شركة تقنين المستقله للحلول الإلكترونية,2026-08-15T21:35:47.022020+00:00,21585.5,مطابق,1,21585.5
1090398,مؤسسة اسس البرمجيات لتقنية المعلومات,2026-08-15T21:35:47.022020+00:00,22149.0,مطابق,0,
1090398,مؤسسة تاجر الجودة,2026-08-15T21:35:47.022020+00:00,21919.0,مطابق,0,
1090406,شركة ابراهيم الجفالي واخوانه للمعدات الصناعية,2026-08-15T21:19:34.385667+00:00,165605.75,مطابق,0,
1090406,شركة الوفاء الدولية,2026-08-15T21:19:34.385667+00:00,93190.25,مطابق,0,
1090406,شركة رؤية النخبه للتجارة,2026-08-15T21:19:34.385667+00:00,74911.0,مطابق,1,74911.0
1090406,شركة صقر يافع التجارية شركة شخص واحد التجارية,2026-08-15T21:19:34.385667+00:00,99708.45,مطابق,0,
1090406,شركة قمة بدح التجارية,2026-08-15T21:19:34.385667+00:00,88245.25,مطابق,0,
1090406,مؤسسة اسناد التميز للتجارة,2026-08-15T21:19:34.385667+00:00,81535.0,مطابق,0,
1090406,مؤسسة الحمرور التجارية,2026-08-15T21:19:34.385667+00:00,102175.2,مطابق,0,
1090475,شركة الطريق الحديث التجارية,2026-08-15T21:36:23.673732+00:00,48547.25,مطابق,1,48547.25
1090475,شركة رؤية النخبه للتجارة,2026-08-15T21:36:23.673732+00:00,24092.5,غير مطابق,0,
1090475,مؤسسة أصول الانجاز التطوير,2026-08-15T21:36:23.673732+00:00,77949.3,غير مطابق,0,
1090529,مؤسسة جارالله ناصر ناصر العبيدي التجارية,2026-08-15T21:26:38.848521+00:00,9000.01,مطابق,1,9000.01
1090529,مؤسسة خلف المحيط للمقاولات,2026-08-15T21:26:38.848521+00:00,14490.0,مطابق,0,
1090609,شركة اتجاهات الريادة للتجارة,2026-08-15T21:36:36.553411+00:00,115747.5,مطابق,0,
1090609,شركة العربة الفاخرة للتجارة,2026-08-15T21:36:36.553411+00:00,29325.0,مطابق,1,29325.0
1090609,شركة المسمك للتجارة,2026-08-15T21:36:36.553411+00:00,34396.5,مطابق,0,
1090609,شركة صالح مهدي سعيد للمقاولات العامة شركة شخص واحد,2026-08-15T21:36:36.553411+00:00,38985.0,مطابق,0,
1090609,مؤسسة ثلاثية البعد,2026-08-15T21:36:36.553411+00:00,44539.5,مطابق,0,
1090609,مؤسسة عبدالمجيد جميل الجلسي التجارية,2026-08-15T21:36:36.553411+00:00,33465.0,مطابق,0,
1090609,مؤسسة فاء الطبية,2026-08-15T21:36:36.553411+00:00,33292.5,مطابق,0,
1090609,مؤسسة هرم الشرق للتجارة,2026-08-15T21:36:36.553411+00:00,33409.8,مطابق,0,
1090612,مؤسسة إبداعات التطور للمقاولات,2026-08-15T21:36:58.196625+00:00,87000.0,مطابق,0,
1090612,مؤسسة اصالة المشتري للتجارة,2026-08-15T21:36:58.196625+00:00,96151.5,مطابق,0,
1090612,مؤسسة تميز المحترف للتجارة,2026-08-15T21:36:58.196625+00:00,61410.0,مطابق,0,
1090612,مؤسسة توريدات الصحراء التجارية,2026-08-15T21:36:58.196625+00:00,44829.3,مطابق,1,44829.3
1090653,شركة الاسناد الماسي الصناعية,2026-08-15T20:44:18.462928+00:00,82205.45,مطابق,0,
1090653,شركة بن سواد للتجارة,2026-08-15T20:44:18.462928+00:00,139897.5,مطابق,0,
1090653,شركة رؤية النخبه للتجارة,2026-08-15T20:44:18.462928+00:00,93040.75,مطابق,0,
1090653,شركة صقر يافع التجارية شركة شخص واحد التجارية,2026-08-15T20:44:18.462928+00:00,92575.0,مطابق,0,
1090653,مؤسسة الحمرور التجارية,2026-08-15T20:44:18.462928+00:00,173029.0,مطابق,0,
1090653,مؤسسة حسام عبدالله محمد المحيميد للتجارة,2026-08-15T20:44:18.462928+00:00,68000.0,مطابق,1,67850.0
1090653,مصنع بشائر المستقبل للصناعة,2026-08-15T20:44:18.462928+00:00,82949.5,مطابق,0,
1090670,شركة مجد الاوائل,2026-08-15T21:27:01.850707+00:00,73738.0,مطابق,0,
1090670,مؤسسة الوسامه الحجازيه للتجارة,2026-08-15T21:27:01.850707+00:00,67300.3,مطابق,1,67300.3
1090679,شركة العاديات المتحدة لقطع غيار السيارات,2026-08-15T22:00:15.131339+00:00,5870.75,غير مطابق,0,
1090679,مؤسسة المحفزات التجارية,2026-08-15T22:00:15.131339+00:00,5026.65,مطابق,1,5026.65
1090701,شركة اتجاهات الريادة للتجارة,2026-08-15T20:41:50.739551+00:00,101913.0,مطابق,0,
1090701,شركة المدارات السعودية للتجارة والاستيراد المحدودة شركة شخص واحد,2026-08-15T20:41:50.739551+00:00,32499.0,مطابق,0,
1090701,شركة مسارات الارضية للمقاولات العامة شخص واحد,2026-08-15T20:41:50.739551+00:00,24807.8,مطابق,1,24807.8
1090701,شركة هامة الكيان,2026-08-15T20:41:50.739551+00:00,25104.5,مطابق,0,
1090701,مؤسسة البراق الذهبي التجارية,2026-08-15T20:41:50.739551+00:00,26530.5,غير مطابق,0,
1090701,مؤسسة توريدات العاصمه للتجارة,2026-08-15T20:41:50.739551+00:00,29532.0,مطابق,0,
1090721,شركة الخليج الطبية,2026-08-15T21:30:09.630976+00:00,43200.0,غير مطابق,0,
1090721,شركة المدار الطبية للتجارة فرع شركة المدار للخدمات الطبية,2026-08-15T21:30:09.630976+00:00,59400.0,غير مطابق,0,
1090721,شركة داوازون التجارية,2026-08-15T21:30:09.630976+00:00,24444.0,غير مطابق,0,
1090721,شركة ميدترونيك العربية السعودية,2026-08-15T21:30:09.630976+00:00,29880.0,مطابق,1,29880.0
1090723,شركة عبد الله فؤاد للوازم والخدمات الطبية شركة شخص واحد مساهمة سعودية مقفلة,2026-08-15T21:51:42.361203+00:00,25440.0,مطابق,1,25440.0
1090726,شركة الخليج الطبية,2026-08-15T21:51:49.788349+00:00,87000.0,مطابق,1,87000.0
1090730,شركة العاديات المتحدة لقطع غيار السيارات,2026-08-15T22:00:22.272514+00:00,1914.75,مطابق,1,1914.75
1090730,مؤسسة المحفزات التجارية,2026-08-15T22:00:22.272514+00:00,2714.0,غير مطابق,0,
1090763,شركة أفق إيفينتس,2026-08-15T22:00:29.525277+00:00,87893.35,مطابق,0,
1090763,شركة تبادر الوطنية للتموين,2026-08-15T22:00:29.525277+00:00,87440.72,مطابق,1,87440.72
1090763,شركة دان لتقديم المشروبات,2026-08-15T22:00:29.525277+00:00,80353.95,غير مطابق,0,
1090763,شركة روح النمو المتحدة,2026-08-15T22:00:29.525277+00:00,79850.25,غير مطابق,0,
1090763,شركة فنون الكوادر المحدودة,2026-08-15T22:00:29.525277+00:00,98951.75,غير مطابق,0,
1090763,شركة منارات العميد للاستثمار,2026-08-15T22:00:29.525277+00:00,80976.1,غير مطابق,0,
1090763,مؤسسة جوده التجهيز للتجارة,2026-08-15T22:00:29.525277+00:00,89826.5,مطابق,0,
1090765,شركة تبادر الوطنية للتموين,2026-08-15T22:00:36.572843+00:00,595.7,مطابق,1,595.7
1090765,شركة فنون الكوادر المحدودة,2026-08-15T22:00:36.572843+00:00,943.0,مطابق,0,
1090765,مؤسسة جوده التجهيز للتجارة,2026-08-15T22:00:36.572843+00:00,850.0,مطابق,0,
1090803,شركة الوفاء الدولية,2026-08-15T20:42:07.881406+00:00,29997.75,مطابق,0,
1090803,شركة مدي الارتقاء التجارية,2026-08-15T20:42:07.881406+00:00,26220.0,مطابق,1,26220.0
1090803,مؤسسة أحمد هشام بن احمد العيسى التجارية,2026-08-15T20:42:07.881406+00:00,32717.5,مطابق,0,
1090805,شركة مدي الارتقاء التجارية,2026-08-15T20:42:13.896641+00:00,56235.0,مطابق,1,56235.0
1090805,مؤسسة ابراهيم عبدالله العريني التجارية,2026-08-15T20:42:13.896641+00:00,56925.0,مطابق,0,
1090812,شركة مدي الارتقاء التجارية,2026-08-15T19:31:34.107515+00:00,8970.0,مطابق,1,8970.0
1090878,مؤسسة ناديه حامد علي القحطاني التجارية,2026-08-15T21:27:22.173929+00:00,67620.0,مطابق,1,67620.0
1090917,شركة تيسير بن سعيد الشيخ للتشغيل والصيانة,2026-08-15T21:27:34.566607+00:00,95220.0,مطابق,0,
1090917,شركة رسالة المدينة للمقاولات العامة,2026-08-15T21:27:34.566607+00:00,93150.0,مطابق,0,
1090917,شركة فنون الكوادر المحدودة,2026-08-15T21:27:34.566607+00:00,94461.0,مطابق,0,
1090917,مؤسسة إمداد روابي المتقدمة القابضة,2026-08-15T21:27:34.566607+00:00,73747.2,مطابق,0,
1090917,مؤسسة صرح الخميس للمقاولات العامة,2026-08-15T21:27:34.566607+00:00,86250.0,مطابق,0,
1090917,مؤسسة عاصم عبدالله الدليقان التجارية,2026-08-15T21:27:34.566607+00:00,56925.0,مطابق,1,56925.0
1090935,مؤسسة الوصل السريع التجارية,2026-08-15T21:27:41.057142+00:00,49570.75,مطابق,0,
1090935,مؤسسة عبدالمجيد جميل الجلسي التجارية,2026-08-15T21:27:41.057142+00:00,22827.5,مطابق,1,22827.5
1090954,شركة افق البناء الرائع للمقاولات العامة,2026-08-15T20:04:29.524734+00:00,15000.0,مطابق,0,
1090954,شركة مركبة سيدانا لصيانة السيارات,2026-08-15T20:04:29.524734+00:00,14812.0,مطابق,0,
1090954,مؤسسة مركبة القارات لصيانة السيارات,2026-08-15T20:04:29.524734+00:00,6836.75,مطابق,1,6836.75
1090996,شركة دانة العلاج التجارية شركة شخص واحد,2026-08-15T21:28:02.337249+00:00,16100.0,مطابق,0,
1090996,شركة دراجر العربية المحدودة,2026-08-15T21:28:02.337249+00:00,6917.25,مطابق,1,6917.25
1090996,مؤسسة الرشاديه للتجارة,2026-08-15T21:28:02.337249+00:00,16537.0,مطابق,0,
1091000,شركة أمواج الخليج السعودية المحدودة,2026-08-15T21:28:08.250812+00:00,91080.0,مطابق,0,
1091000,شركة ملامح العلا,2026-08-15T21:28:08.250812+00:00,98399.75,مطابق,0,
1091000,مؤسسة اعمال المياه للتجارة,2026-08-15T21:28:08.250812+00:00,71012.5,مطابق,0,
1091000,مؤسسة الغبيبه للتجارة,2026-08-15T21:28:08.250812+00:00,121169.75,مطابق,0,
1091000,مؤسسة اللمسات المتقدمة للتجارة,2026-08-15T21:28:08.250812+00:00,63698.5,مطابق,0,
1091000,مؤسسة تميز المحترف للتجارة,2026-08-15T21:28:08.250812+00:00,38737.75,مطابق,1,38737.75
1091000,مؤسسة عبدالمجيد جميل الجلسي التجارية,2026-08-15T21:28:08.250812+00:00,61352.5,مطابق,0,
1091022,شركة حكيم الاعمار للمقاولات المعمارية,2026-08-15T21:11:32.689896+00:00,460042.9,مطابق,0,
1091022,فرع شركة أورنج ميديا جروب أو أم جي ذ م م,2026-08-15T21:11:32.689896+00:00,99930.01,مطابق,1,99930.01
1091065,شركة لوازم الدولية الطبية شركة شخص واحد,2026-08-15T19:28:34.544155+00:00,4600.0,مطابق,1,4600.0
1091065,مؤسسة اصلاف الجزيرة للمقاولات,2026-08-15T19:28:34.544155+00:00,2645.0,غير مطابق,0,
1091069,شركة ميس السعوديه للمنتجات الطبيه المحدوده,2026-08-15T21:38:03.663635+00:00,5000.0,مطابق,1,5000.0
1091071,شركة لوازم الدولية الطبية شركة شخص واحد,2026-08-15T20:13:41.482100+00:00,4560.0,مطابق,1,4560.0
1091230,شركة سول العالم لحلول الاعمال,2026-08-15T20:50:31.597661+00:00,11500.0,مطابق,0,
1091230,مؤسسة اسناد التميز للتجارة,2026-08-15T20:50:31.597661+00:00,9775.0,مطابق,0,
1091230,مؤسسة الربيع الوطنية للتجارة,2026-08-15T20:50:31.597661+00:00,11500.0,مطابق,0,
1091230,مؤسسة امتياز التعاون للتجارة,2026-08-15T20:50:31.597661+00:00,5865.0,مطابق,1,5865.0
1091230,مؤسسة خالد عبدالعزيز السليم للتجارة,2026-08-15T20:50:31.597661+00:00,11442.5,مطابق,0,
1091230,مؤسسة رافد الاختيار,2026-08-15T20:50:31.597661+00:00,7992.5,مطابق,0,
1091230,مؤسسة غرم ابن سعيد القحطاني للتجارة,2026-08-15T20:50:31.597661+00:00,7047.98,مطابق,0,
1091230,مؤسسة هرم الشرق للتجارة,2026-08-15T20:50:31.597661+00:00,5911.0,مطابق,0,
1091354,شركة ركن الإبداعات,2026-08-15T21:06:13.560173+00:00,29716.0,مطابق,1,29716.0
1091354,وكالة نكهة الإبداع للدعاية والاعلان,2026-08-15T21:06:13.560173+00:00,39974.0,مطابق,0,
1091375,شركة راي صان للصيانة شركة شخص واحد,2026-08-15T21:20:12.606898+00:00,74842.0,مطابق,0,
1091375,مؤسسة الوسط الجوفي التجارية,2026-08-15T21:20:12.606898+00:00,77970.0,مطابق,0,
1091375,ورشة عالم طيبه لصيانة السيارات,2026-08-15T21:20:12.606898+00:00,74129.0,مطابق,1,74129.0
1091422,شركة المجتهد العربي المحدودة,2026-08-15T21:06:42.176079+00:00,89504.5,مطابق,1,89500.0
1091422,شركة عابر الغربية للمقاولات العامة,2026-08-15T21:06:42.176079+00:00,94300.0,مطابق,0,
1091422,مؤسسة النور المتحدة للوقود,2026-08-15T21:06:42.176079+00:00,98900.0,مطابق,0,
1091422,مؤسسة رواد التوريد للتجارة,2026-08-15T21:06:42.176079+00:00,98894.25,مطابق,0,
1091449,شركة ابراهيم الجفالي واخوانه لانظمة الطباعه,2026-08-15T21:52:36.470167+00:00,75394.0,مطابق,1,75394.0
1091488,شركة أبو نايف للعقارات,2026-08-15T20:50:49.160753+00:00,91770.0,مطابق,1,91770.0
1091488,شركة شتاء للتبريد والتكييف,2026-08-15T20:50:49.160753+00:00,125327.0,مطابق,0,
1091542,بنشر نبع الريان لخدمات السيارات,2026-08-15T20:12:08.995220+00:00,55315.0,مطابق,1,55315.0
1091543,بنشر نبع الريان لخدمات السيارات,2026-08-15T20:12:13.684529+00:00,55000.0,مطابق,1,55000.0
1091578,شركة رؤية النخبه للتجارة,2026-08-15T20:12:20.591180+00:00,38518.1,مطابق,0,
1091578,مؤسسة على عبدالرحمن على العصيمى التجارية,2026-08-15T20:12:20.591180+00:00,27853.0,مطابق,1,27853.0
1091625,شركة الجيل الطبية والتجارية شركة شخص واحد,2026-08-15T20:19:13.475064+00:00,96600.0,مطابق,1,96600.0
1091739,شركة آيكونز كونتراكت,2026-08-15T21:20:54.033496+00:00,59440.05,مطابق,1,59440.05
1091739,شركة النواعير الحديثة للمقاولات,2026-08-15T21:20:54.033496+00:00,112642.5,مطابق,0,
1091739,شركة بناج للتشغيل والصيانة,2026-08-15T21:20:54.033496+00:00,70955.0,مطابق,0,
1091739,مؤسسة رمز الديار للمقاولات,2026-08-15T21:20:54.033496+00:00,77238.6,مطابق,0,
1091739,مؤسسة كنز الشمال للمقاولات العامة,2026-08-15T21:20:54.033496+00:00,131976.3,مطابق,0,
1091739,مؤسسة مشاريع الجوبة,2026-08-15T21:20:54.033496+00:00,63399.5,مطابق,0,
1091739,مؤسسة نحو مستقبل افضل للمقاولات,2026-08-15T21:20:54.033496+00:00,98900.0,مطابق,0,
1091739,ورشة عالم طيبه لصيانة السيارات,2026-08-15T21:20:54.033496+00:00,61916.0,مطابق,0,
1091777,شركة أسكو جلوبال,2026-08-15T21:21:00.566068+00:00,432354.0,مطابق,0,
1091777,شركة اضواء الامم التجارية,2026-08-15T21:21:00.566068+00:00,95576.5,مطابق,0,
1091777,شركة المدارات السعودية للتجارة والاستيراد المحدودة شركة شخص واحد,2026-08-15T21:21:00.566068+00:00,326871.4,مطابق,0,
1091777,شركة واعد المتطوره للمقاولات,2026-08-15T21:21:00.566068+00:00,98900.0,مطابق,0,
1091777,مؤسسة مهارات واثقة,2026-08-15T21:21:00.566068+00:00,92000.0,مطابق,1,92000.0
1091844,مؤسسة أيان للفعاليات الترفيهية,2026-08-15T21:06:57.029108+00:00,9558.81,مطابق,1,9558.81
1091844,مؤسسة صدى المناسبات لتنظيم المعارض والمؤتمرات,2026-08-15T21:06:57.029108+00:00,16675.0,غير مطابق,0,
1091844,مصنع حرفة نجار للصناعة,2026-08-15T21:06:57.029108+00:00,24175.0,مطابق,0,
1091847,شركة المسمك للتجارة,2026-08-15T20:51:07.660767+00:00,49927.25,مطابق,0,
1091847,شركة فيوليا ووتر تكنولوجيز السعودية المحدودة,2026-08-15T20:51:07.660767+00:00,60277.25,مطابق,0,
1091847,شركة ملامح العلا,2026-08-15T20:51:07.660767+00:00,44505.0,مطابق,0,
1091847,مؤسسة جرس الثلج المتكاملة,2026-08-15T20:51:07.660767+00:00,51790.25,مطابق,0,
1091847,مؤسسة درة البحيرات للسباكة والكهرباء,2026-08-15T20:51:07.660767+00:00,30762.5,مطابق,1,29997.75
1091847,مؤسسة عمار الارض للمقاولات,2026-08-15T20:51:07.660767+00:00,41719.14,مطابق,0,
1091853,مؤسسة طلائع السبعين التجارية,2026-08-15T20:31:19.076226+00:00,8465.15,مطابق,1,8465.15
1091854,شركة دانة العلاج التجارية شركة شخص واحد,2026-08-15T20:31:26.712319+00:00,81075.0,مطابق,0,
1091854,مؤسسة توريدات الصحراء التجارية,2026-08-15T20:31:26.712319+00:00,53289.85,مطابق,1,53289.85
1091906,شركة الجميح وشل لزيوت التشحيم المحدودة,2026-08-15T20:42:52.975954+00:00,22195.0,مطابق,1,22195.0
1091906,شركة الوجهة الذكية المحدودة,2026-08-15T20:42:52.975954+00:00,26634.0,مطابق,0,
1091906,مؤسسة درة البحيرات للسباكة والكهرباء,2026-08-15T20:42:52.975954+00:00,30475.0,مطابق,0,
1091906,مؤسسة صبا المزن للتجارة,2026-08-15T20:42:52.975954+00:00,33350.0,مطابق,0,
1091906,مؤسسة طلائع السبعين التجارية,2026-08-15T20:42:52.975954+00:00,25875.0,مطابق,0,
1091906,مؤسسة عبدالمجيد جميل الجلسي التجارية,2026-08-15T20:42:52.975954+00:00,24725.0,مطابق,0,
1091906,مؤسسة معدات الدعم التجارية,2026-08-15T20:42:52.975954+00:00,27600.0,مطابق,0,
1091920,شركة المسمك للتجارة,2026-08-15T20:43:07.602105+00:00,9338.01,مطابق,0,
1091920,مؤسسة درة البحيرات للسباكة والكهرباء,2026-08-15T20:43:07.602105+00:00,8556.0,مطابق,1,8556.0
1091920,مؤسسة طلائع السبعين التجارية,2026-08-15T20:43:07.602105+00:00,16278.25,مطابق,0,
1091922,مؤسسة رعايات الطبية,2026-08-15T20:43:14.298261+00:00,7684.3,مطابق,1,7684.3
1091956,شركة المجتهد العربي المحدودة,2026-08-15T20:27:51.131732+00:00,76056.79,مطابق,1,74800.0
1091958,شركة المجتهد العربي المحدودة,2026-08-15T21:07:09.692457+00:00,58778.8,مطابق,1,58778.8
1091958,شركة عابر الغربية للمقاولات العامة,2026-08-15T21:07:09.692457+00:00,61134.0,مطابق,0,
1091966,شركة مدي الارتقاء التجارية,2026-08-15T20:43:43.731368+00:00,17940.0,مطابق,1,17940.0
1091969,شركة اتجاهات الريادة للتجارة,2026-08-15T19:51:03.198519+00:00,44049.6,مطابق,0,
1091969,مؤسسة أفضل اعمار للمقاولات,2026-08-15T19:51:03.198519+00:00,33120.0,مطابق,0,
1091969,مؤسسة امل احمد سلمان ودعاني للمقاولات العامة,2026-08-15T19:51:03.198519+00:00,54979.2,مطابق,0,
1091969,مؤسسة خلف المحيط للمقاولات,2026-08-15T19:51:03.198519+00:00,13248.0,مطابق,1,13248.0
1091969,مؤسسة شلال ابان لنقل وتوزيع المياه,2026-08-15T19:51:03.198519+00:00,19485.6,مطابق,0,
1091992,شركة ابراهيم حسن العجلان للمقاولات,2026-08-15T21:07:18.327207+00:00,75900.0,مطابق,1,75900.0
1091992,مؤسسة زاد القناص التجارية,2026-08-15T21:07:18.327207+00:00,92000.0,مطابق,0,
1091992,مؤسسة كيان التشيد للتجاره,2026-08-15T21:07:18.327207+00:00,71645.0,مطابق,0,
1092015,مؤسسة على عبدالرحمن على العصيمى التجارية,2026-08-15T20:43:50.120179+00:00,29739.0,مطابق,1,29739.0
1092017,مؤسسة مدد التوريد,2026-08-15T21:07:26.975108+00:00,79925.0,مطابق,0,
1092017,مؤسسة نواة تك للتجارة,2026-08-15T21:07:26.975108+00:00,79005.0,مطابق,1,79005.0
1092154,شركة العملاق أمان التجارية شركة شخص واحد,2026-08-15T20:43:56.747781+00:00,99705.0,مطابق,0,
1092154,شركة سنان المجد لصيانة السيارات,2026-08-15T20:43:56.747781+00:00,94955.5,مطابق,1,94955.5
1092154,شركة قمة بدح التجارية,2026-08-15T20:43:56.747781+00:00,101407.0,مطابق,0,
1092154,مؤسسة الحمرور التجارية,2026-08-15T20:43:56.747781+00:00,108341.5,مطابق,0,
1092165,شركة رؤية النخبه للتجارة,2026-08-15T20:12:57.591613+00:00,25226.4,مطابق,0,
1092165,مؤسسة بصمة بساطة التجارية,2026-08-15T20:12:57.591613+00:00,21160.0,مطابق,1,21160.0
1092165,مؤسسة على عبدالرحمن على العصيمى التجارية,2026-08-15T20:12:57.591613+00:00,29946.0,مطابق,0,
1092189,شركة سنان المجد لصيانة السيارات,2026-08-15T20:32:33.850630+00:00,94990.0,مطابق,0,
1092189,شركة علي عبدالرحمن العمودي للتجارة,2026-08-15T20:32:33.850630+00:00,83720.0,مطابق,1,83720.0
1092189,مؤسسة الحمرور التجارية,2026-08-15T20:32:33.850630+00:00,84111.0,مطابق,0,
1092200,شركة الخليجية الخاصة للتجارة,2026-08-15T19:03:19.103362+00:00,22540.0,مطابق,0,
1092200,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:03:19.103362+00:00,21850.0,مطابق,0,
1092200,مؤسسة جسور الامداد لنقل وتوزيع المياه,2026-08-15T19:03:19.103362+00:00,14720.0,مطابق,1,14720.0
1092205,شركة الخليجية الخاصة للتجارة,2026-08-15T19:13:27.647876+00:00,11592.0,مطابق,1,11592.0
1092205,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:13:27.647876+00:00,17664.0,مطابق,0,
1092205,مؤسسة جسور الامداد لنقل وتوزيع المياه,2026-08-15T19:13:27.647876+00:00,14904.0,مطابق,0,
1092208,شركة الاستبرق التجارية,2026-08-15T19:03:25.496947+00:00,16992.0,مطابق,0,
1092208,شركة المندرة العربية للمقاولات شركة شخص واحد,2026-08-15T19:03:25.496947+00:00,15897.6,مطابق,0,
1092208,مؤسسة جسور الامداد لنقل وتوزيع المياه,2026-08-15T19:03:25.496947+00:00,14490.0,مطابق,0,
1092208,مؤسسة شلال ابان لنقل وتوزيع المياه,2026-08-15T19:03:25.496947+00:00,13827.6,مطابق,1,13827.6
1092218,شركة الجيل الطبية والتجارية شركة شخص واحد,2026-08-15T20:19:35.868753+00:00,9000.0,مطابق,1,9000.0
1092235,شركة مجد الاوائل,2026-08-15T20:19:43.574460+00:00,72427.0,مطابق,1,72427.0
1092235,مؤسسة العمارات العربية للتجارة,2026-08-15T20:19:43.574460+00:00,74198.0,مطابق,0,
1092235,مؤسسة محمد غنام محمد الغنام التجارية,2026-08-15T20:19:43.574460+00:00,76866.0,مطابق,0,
1092245,شركة الأريب الرائدة للاستشارات التعليمية والتربوية,2026-08-15T20:51:49.965260+00:00,99997.1,مطابق,0,
1092245,شركة باران المحدودة,2026-08-15T20:51:49.965260+00:00,99383.0,مطابق,0,
1092245,شركة دار الشعثاني للتجارة,2026-08-15T20:51:49.965260+00:00,128121.5,مطابق,0,
1092245,شركة علي عبدالرحمن العمودي للتجارة,2026-08-15T20:51:49.965260+00:00,98957.5,مطابق,0,
1092245,شركة هايلايت سولوشنز,2026-08-15T20:51:49.965260+00:00,127592.5,مطابق,0,
1092245,مؤسسة اسناد التميز للتجارة,2026-08-15T20:51:49.965260+00:00,88389.0,مطابق,0,
1092245,مؤسسة تاج التموين للتجارة,2026-08-15T20:51:49.965260+00:00,118036.0,مطابق,0,
1092245,مؤسسة عالم الطليعه للتجارة,2026-08-15T20:51:49.965260+00:00,87814.0,مطابق,1,87814.0
1092245,مؤسسة لمسة أثاثي للتجارة,2026-08-15T20:51:49.965260+00:00,107002.9,مطابق,0,
1092351,شركة أبو نايف للعقارات,2026-08-15T20:44:04.094311+00:00,115000.0,مطابق,0,
